,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
10,Mussels with salsa verde and olive oil chips,"1kg maris piper potatoes, 3 tbsp olive oil, 1 onion, chopped, 2 garlic cloves, crushed, 100ml dry white wine, 1.5kg mussels, cleaned and de-bearded (see Know-how), Large handful fresh soft herbs, such as parsley, mint and basil, chopped, 1 tbsp dijon mustard, 2 tbsp capers, drained, 2 tbsp red wine vinegar, 3 tbsp extra-virgin olive oil, Large stock pot or flameproof casserole with a tight-fitting lid",510,19.5,2.9,24.9,50.8,5.1,6.8,1.7,Italy
11,Sausage and sprout carbonara,"175g spaghetti, Light olive oil for frying and drizzling, 1-2 leftover free-range British pork sausages, sliced into 1.5cm pieces, 10-12 leftover cooked brussels sprouts, quartered or sliced, 2 medium free-range eggs, 35g parmesan, finely grated, Finely grated zest and juice ½ lemon, 1 tbsp finely chopped fresh flatleaf parsley",686,31,9.2,31.8,66.2,4.2,7.5,0.9,Italy
12,Tomato and bacon lasagne,"2 tbsp olive oil, 200g free-range British smoked bacon lardons, 250g lean free-range British pork mince, 1 large celery stick, finely chopped, 1 large carrot, finely chopped, 3 garlic cloves, chopped or sliced, 200ml white wine, 700ml jar tomato passata or crushed tomatoes, 1 veg stock pot (we used Knorr), 6 large fresh lasagne sheets, 2 tbsp freshly grated parmesan, 750ml skimmed milk, 2 bay leaves, 6 black peppercorns, 3 tbsp olive oil, 3 tbsp plain flour, Whole nutmeg for grating",458,22.6,6.5,24.3,31.6,11.9,3.9,2.1,Italy
13,Honey tiramisu,"5 egg yolks, 5 tablespoons clear honey, 250g mascarpone cheese, 250g smetana or soured cream, 200ml very strong black tea, cooled, 200g sponge fingers, preferably without a sugar coating, Ground cinnamon, for dusting",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Italy
14,Ploughman’s pizza,"220g pack frozen ready-to-roll pizza dough, defrosted (we used Northern Dough Co Original), 4 tbsp fruity chutney, 200g cheese (we used a mix of mature cheddar and stilton), 100g cooked ham, sliced or shredded, 50g fresh watercress",811,42.4,25.3,47.3,59,12.1,2.1,5.2,Italy
15,Goat’s cheese and chicory crostini with balsamic pickled shallots,"500g shallots, 1 tbsp fine sea salt, 350ml malt vinegar, 150ml balsamic vinegar, 100g caster sugar, 3 bay leaves, 2 fresh rosemary sprigs, 2 fresh thyme sprigs, ½ tsp black peppercorns, 1 tsp pink peppercorns, ¼ tsp each black and yellow mustard seeds, ½ tsp caraway seeds, 3 large slices sourdough, 3 tbsp olive oil, plus extra for drizzling, 2 heads red or yellow chicory, finely sliced, 1 fresh thyme sprig, 2 tbsp clear honey, plus extra for drizzling, Handful fresh flatleaf parsley, finely chopped, 100g soft goat’s cheese, 1 large (about 1 litre) sterilised jar, or several smaller jars with lids",66,3.2,1.2,2.2,6.6,3.2,0.8,0.4,Italy
16,Smoked haddock and pea risotto,"2 tbsp light olive oil, 1 leek (about 150g), finely sliced, 200g frozen sustainable smoked haddock, defrosted, 100g frozen peas, 300ml semi-skimmed milk, About 750ml turkey or vegetable stock, 180g risotto rice, 50g grana padano, grated (or any other hard cheese you have in the fridge), Finely grated zest and juice ½ lemon, Small handful fresh parsley, chopped",717,21,7.1,40.9,87.8,9.8,6.4,2.4,Italy
17,"Pancetta, watercress and mozzarella arancini","50g hard mozzarella , ½ batch pancetta and watercress risotto defrosted if frozen, 75g plain flour, 100g dried breadcrumbs, 2 medium free-range eggs, Vegetable oil for deep-frying, Pinch sea salt flakes, Digital probe thermometer ",167,6.5,2.1,6.1,20.5,0.8,0.7,0.6,Italy
18,Bagna cauda (anchovy and garlic sauce),"2 large garlic bulbs, cloves separated, peeled and halved lengthways, then the small green shoots (germ) removed , 1 litre whole milk, 8-12 large anchovy fillets (see tips) , 40g walnut pieces, 100g unsalted butter, melted, 25ml extra-virgin olive oil",373,34.6,15.9,7.3,7.1,3.5,1.8,0.3,Italy
19,Pancetta and watercress risotto,"150g cubed pancetta (see tip), 1 tbsp light olive oil, 1 onion, finely chopped, 1.8 litres chicken or vegetable stock , 360g risotto rice , Splash dry white wine (optional), 100g bag watercress, chopped, 75g grana padano cheese, grated, Grated zest and juice 1 lemon",400,14.6,6.1,13.6,51.3,2,1.7,1.9,Italy
