,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
10,Crème caramels with caramel oranges,"75g caster sugar, 200g vegan cream cheese (we used Veganlife), 250ml Oatly vegan cream, 100ml unsweetened almond milk, 3 tbsp maple syrup, 3 tbsp cornflour, 2 tsp vanilla bean paste, 250g caster sugar, 2 cardamom pods, bruised, 3 oranges, Pomegranate seeds to serve, 4 x 180ml ramekins; food processor or blender",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,vegan
11,Squash ravioli with mushrooms and sage pesto,"400g butternut squash/pumpkin, peeled and roughly chopped, 1 onion, roughly chopped, 4 garlic cloves, bashed, 1 tbsp olive oil, 1 tbsp light brown soft sugar (check it’s vegan), 50g vegan hard cheese, grated (we used Violife Prosociano from Sainsbury’s and Ocado), 250g 00 flour, plus extra for dusting (see Know-how), 100-125ml lukewarm water, Semolina for dusting, 750g mixed wild mushrooms, Light olive oil for drizzling, 2 tbsp chopped fresh rosemary or thyme leaves, 300g cavolo nero, thick stems discarded, roughly chopped, 1 small garlic clove, chopped, 25g California Walnut halves, toasted in a dry pan, 25g fresh sage leaves, 4 each fresh rosemary and thyme sprigs, leaves picked, 25g vegan hard cheese (see filling ingredients, left), grated, Juice ½ lemon, 125ml extra-virgin olive oil, plus extra to serve, Food processor; pasta machine",510,26.2,5.7,16.9,47.8,8.6,7.8,0.3,vegan
12,Vegan mushroom wellington,"500g chestnut mushrooms, 8 fresh thyme sprigs, 4 fresh rosemary sprigs, 2 fresh sage sprigs, 8 garlic cloves, peeled, Olive oil for drizzling, 4 sun-dried tomatoes, thinly sliced, plus 3 tbsp oil from the jar, 4 banana shallots, thinly sliced, 1 carrot, peeled and finely grated, 1 celery stick, diced, 200g cooked chestnuts, 200g pecans, 200ml red wine (vegan if necessary), 2 ½ tbsp cranberry sauce, 1 bay leaf, ½ tsp freshly grated nutmeg, ½ tsp ground cinnamon, 100g dried breadcrumbs, 2 x 320g sheets ready-rolled vegan puff pastry, 2 tbsp unsweetened plant-based milk, plus extra for brushing, 1 tbsp maple syrup, Food processor; compostable baking paper",616,40.7,10.1,10.4,44.4,7.4,5.7,0.8,vegan
13,Parsnip and porcini gravy,"2 tbsp olive oil, 1 sliced shallot, Handful of parsnip trimmings, 1 finely sliced parsnip, 1 tbsp plain flour, 100ml vegan red wine, reserved porcini soaking liquid made up to 400ml with hot water, 1 tbsp truffle oil or 1 tsp cranberry sauce (for a sweeter flavour)",93,5.8,0.8,0.8,5.4,1.8,1.4,trace salt,vegan
14,"Red onion, sour cherry and pomegranate relish","3 tbsp caster sugar,, 2 tbsp pomegranate molasses, 150ml red wine vinegar, 75ml pomegranate juice, 1 tsp salt, 2 sliced red onions, 170g frozen mixed berries and cherries, 1 tsp coriander seeds, ½ tsp freshly ground pink or regular peppercorns",65,0.2,trace,0.8,14.3,12.5,1.5,0.6,vegan
15,Roast sprouts with walnuts and pomegranates,"800g trimmed and halved brussels sprouts, Vegetable oil, 50g walnut halves, a handful of fresh sage leaves, 2-3 tbsp pomegranate molasses, A handful of pomegranate seeds",130,7.1,1,4.7,8.8,6.2,6.1,trace salt,vegan
16,Best-ever fluffy roast potatoes,"2kg floury potatoes, Vegetable oil, 75g fresh breadcrumbs, 3 chopped garlic cloves, A large handful of freshly chopped flatleaf parsley, Grated zest of 1 lemon, Lemon juice",329,8.7,0.7,6.1,53.9,2.7,5.3,0.5,vegan
17,Rainbow houmous platter,"500ml apple cider vinegar, 200g caster sugar, 2 tbsp fine salt, 1 tbsp black peppercorns, 1 tbsp yellow mustard seeds, 1 tbsp celery seeds, 1 tbsp coriander seeds, 450g mixed baby heritage carrots, 1 small cauliflower, cut into florets, 250g raw beetroot, peeled and cut into 3cm chunks, Olive oil to drizzle, 400g tin chickpeas, 1 tsp ground cumin, 1 garlic clove, crushed, 2 tbsp tahini, 1 tbsp pomegranate molasses, plus extra to drizzle, Juice ½ lemon, Pomegranate seeds to serve, 250g carrots, topped and chopped into 3cm chunks, Olive oil to drizzle, 400g tin chickpeas, 1 tsp carawy seeds, toasted, 1 garlic clove, crushed, 2 tbsp tahini, Juice ½ lemon, Pul biber (aleppo pepper) to serve – see Know-how, 150g frozen petit pois, defrosted, 400g tin chickpeas, 2 fresh mint sprigs, leaves picked, plus extra chopped leaves to serve, 1 garlic clove, crushed, 2 tbsp tahini, Juice 1 lemon, Mixed heritage beetroot (we used 2 golden candy, 2 candy and 2 red), sliced thinly, 200g mixed radishes, 2 green chicory, leaves separated, 2 red chicory, leaves separated, 6 celery sticks, cut in batons, 200g large green olives, 200g sweety drop or peppadew peppers, Food processor",291,14.9,2.1,9.9,24.2,11.3,9.9,1.2,vegan
18,Avocado and squash tempura with ponzu dipping sauce,"Vegetable oil for deep frying, 50g plain flour, 50g cornflour, 170g cold cava or soda water, 1 large avocado, sliced, 350g butternut squash, peeled and sliced into thin wedges, Sesame seeds to sprinkle, Microherbs or coriander leaves to garnish, 3 tbsp soy sauce, Finely grated zest and juice 1 lemon, Finely grated zest and juice 1 clementine, 2 tbsp mirin, ½ tsp kombu flakes (optional; see Know-how), Digital probe thermometer",216,12.7,1.5,1.8,19.1,5.6,2.2,0.8,vegan
19,Vegan coconut curry,"2 tbsp light olive oil or coconut oil, 2 x 280g packs firm tofu, cut into chunks and dried on kitchen paper, 4 large spring onions, white and green parts sliced separately, 4 garlic cloves, crushed, 1-2 red chillies, sliced, to taste, 1 tbsp cumin seeds, bashed, 10 fresh or 15 dried curry leaves, 400ml half-fat coconut milk, 300ml chicken/vegetable stock (or simply use boiling water), 175g frozen peas, 200g tenderstem broccoli, 1 tbsp tamarind paste, plus extra to drizzle",386kcal,24.3,9.1,25.3,12.6,5.6,7,0.3,vegan
