,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
10,Dishoom’s green vada (coriander and mint) chutney,"½ tsp cumin seeds,  20g fresh coriander, 20g fresh mint leaves, 5g granulated sugar, 5g roughly chopped green chilli, 25ml lime juice, 25ml water",8,0.2,trace,0.4,1.3,0.1,0.2,0.1,vegan
11,Dishoom’s Bhel,"½ medium green chilli, chopped, 10g fresh coriander leaves, chopped, plus a little extra to finish the dish,  10g fresh ginger, very finely chopped, 50g red onion, finely chopped, 50g tomato, finely chopped, 25g pomegranate seeds (less than ½ pomegranate), 40g Bombay mix (see tips), 15g mamra (see Know-how), 25g fine sev (see Know-how), 40g tamarin chutney (see tips), 20g coriander and mint chutney, 2 tsp lime juice, Pinch fine sea salt",114,3.4,0.4,2.9,16.9,9.6,1.7,0.4,vegan
12,Chilli tofu veg ‘noodles’,"10 sprays olive oil, 200g firm tofu, cut into cubes, 1 garlic clove, crushed, Thumb-size piece fresh ginger, grated, 1 fresh red chilli, finely sliced, 2 spring onions, finely sliced, 2 courgettes (320g), finely sliced into ‘noodles’ with a julienne peeler or spiraliser, 1 carrot (160g), finely sliced into ‘noodles’ with a julienne peeler or spiraliser, 2 tsp sesame oil, Finely grated zest and juice 1 lime, Fresh coriander to serve",242,13.2,2.2,17.2,11.1,7.1,6.8,0.2,vegan
13,"Black rice paella with artichokes, peppers and spinach","3 tbsp olive oil, plus a splash, ½ large Spanish onion, chopped , 160g runner beans, sliced, ¼-½ tsp saffron, toasted in a dry pan, 1 tsp smoked sweet pimentón (see Know-how), ¼ smoked hot pimentón (see Know-how), 2 large fresh tomatoes on the vine, chopped, 2 fat garlic cloves, chopped, 175g marinated artichokes in oil, 650-700ml vegetable stock (if you’re vegan, check the stock is vegan), 250g black venus rice (we used Gallo), soaked in cold water for 30 minutes, then drained, 2 fresh bay leaves, 1 bushy rosemary sprig, 130g pack pardon peppers, 1 large green or yellow courgette, peeled into ribbons, 115g bag baby leaf spinach, 1 tbsp extra-virgin olive oil, Splash sherry vinegar, 32-34cm paella pan or large shallow casserole, or 3 smaller paella pans to serve 1-2 people each",317,14.7,2.2,5.8,36.5,5.1,7.9,0.6,vegan
14,Summer garden soup,"2 tbsp extra-virgin olive oil, plus extra for finishing, 2 medium fennel bulbs, trimmed, halved and diced, 4 new potatoes, scrubbed, cut into 1cm cubes, 1 litre well flavoured vegetable stock, 1 medium courgette, cut into 1cm cubes, 2 large handfuls freshly podded broad beans, 2 handfuls freshly podded peas, 6 spring onions, trimmed and thinly sliced, 1 small lettuce, washed and shredded into 1-2cm pieces, Large handful mixed fresh herbs, (such as mint, flatleaf parsley, basil, fennel tops or chives), leaves picked and chopped, Squeeze fresh lemon juice",157,9.2,1.6,4.6,10.8,5.2,5.9,0.1,vegan
15,Ful medames,"400g tin broad beans or fava beans, Pinch paprika, Pinch cinnamon (optional), Juice 2 lemons, 3 garlic cloves, crushed, 3 large tomatoes, deseeded and finely chopped, 80ml olive oil, Bunch fresh flatleaf parsley, finely chopped, Pitta bread to serve",224,15.5,2.2,6.3,11.7,4.2,6.5,0.5,vegan
16,Vegan coconut and mango pavlova,"400g can chickpeas, 220g caster sugar, 1 tbsp cornflour, 3 ripe passion fruit, Zest and juice 1 lime, 400ml mango sorbet to serve, 2 ripe mangoes, peeled, de-stoned and sliced to serve, 250ml carton coconut cream, chilled for at least 3 hours (we used Sainsbury’s own brand), 1-2 tbsp maple syrup, optional, Baking tray lined with non-stick baking paper; stand mixer/electric mixer",230,8.8,7.5,1.7,35.3,33.2,1.4,trace,vegan
17,Lighter caponata,"2 aubergines, quartered lengthways, 1 medium red onion, finely sliced, 1 celery stick, cut into 1cm chunks, Cooking oil spray, 6 plum tomatoes, roughly chopped (or use a 400g can of chopped tomatoes), 2 garlic cloves, crushed, 3 tbsp olive oil, 1 tbsp red wine vinegar, 1 tsp dried marjoram or oregano, 80g large pitted green olives (we used gordal, in a cumin and lemon dressing), sliced, 2 tbsp capers, drained, 20g golden raisins, 20g fresh basil, leaves picked and roughly torn, 1 tbsp pine nuts, lightly toasted in a dry pan (optional)",248,18.6,2.6,3.8,13.1,11.7,6.6,1.2,vegan
18,Spicy potato and cauliflower burger,"Vegetable oil for frying, 2 banana shallots, finely sliced into rounds, 1 green chilli, finely sliced, Cornflour for dusting, 2 tbsp tamarind paste(see Know-how), 4 burger buns, halved and lightly toasted (check they’re vegan if need be), 6 tbsp coconut yogurt (we used CoYo brand), 6 medium tomatoes, sliced, 1 lime, cut into wedges, 200g cauliflower, sliced into florets , 1 tbsp vegetable oil, plus extra for frying, 500g potatoes, peeled and cut into 2cm chunks, 3 tbsp madras curry paste (or your favourite curry paste), 2 fat garlic cloves, crushed, 3cm piece fresh ginger, grated (no need to peel), 1 tsp black mustard seeds, 2-3 tbsp non-dairy milk, such as soya or oat milk, 1 tbsp mango chutney, plus extra to serve, Small handful fresh coriander, leaves picked and stalks chopped, Cornflour for dusting",73,20.7,5.1,6.4,61.4,10.8,7.5,1.3,vegan
19,Black rice super salad,"2 x 200g pouches of cooked black wholegrain rice (we used Gallo, from Waitrose), 200g watercress, 250g halved cherry tomatoes, 5 thinly sliced spring onions, 200g pomegranate seeds, 1 ripe avocado, 3 tbsp tahini, 2 tbsp olive oil, Finely grated zest and juice of 2 lemons, 1 tbsp agave syrup, Drizzle of olive oil and sprinkle of mixed seeds, to serve",556,28.6,4.8,11,58.3,13.5,10.6,1,vegan
