,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
10,"Fig, orange and ricotta cheesecake puddings","10 digestive biscuits, 35g mixed honey roasted nuts, 35g unsalted butter, melted, 180g full-fat cream cheese (we used Philadelphia), 125g ricotta, 150ml double cream, 6 tbsp icing sugar, Finely grated zest and juice 1 orange, 4 tbsp Grand Marnier or other orange liqueur, 8 figs, halved or quartered",390,25.6,14.5,5.7,29.1,21.4,1.5,0.5,Italy
11,"Fig, pancetta and burrata pizzas","280g self-raising flour, plus extra to dust, 250g natural yogurt, ½ tsp baking powder, 10 pancetta slices, 100g ball burrata, Large handful wild rocket, Large handful chopped radicchio leaves (or chicory leaves), 4 figs, quartered, Clear honey for drizzling",486,15.5,7.5,20.2,65.5,22.4,3.8,2.3,Italy
12,Lighter bolognese sauce,"1 tbsp olive oil, 1 onion, finely chopped, 1 celery stick, finely chopped, 1 carrot, finely chopped (see tips), 250g mushrooms, finely chopped, 4 garlic cloves, crushed, 1 tsp dried oregano, 750g pork mince, 250g beef mince (see tips), 2 tbsp tomato purée, 2 bay leaves, 2 thyme sprigs, 400g tin chopped tomatoes, 350ml beef stock, hot, 400ml tomato passata",281,15.9,5.9,27,6.5,5.5,2.1,0.7,Italy
13,Super green pasta,"500g penne pasta, 200g pot of houmous, 1 avocado, roughly chopped, 1 courgette, roughly chopped, 200ml light coconut milk, 100g defrosted frozen peas, Finely grated zest and juice of ½ lemon, The leaves of 5-6 fresh mint sprigs, Extra squeeze of lemon, lemon zest, black pepper, a few torn mint leaves and sea salt flakes, to serve",500,18,4.4,15,65.6,3.2,8.9,0.3,Italy
14,Pork and fennel gnocchi grill,"2 tsp olive oil, 3 free-range British pork sausages, 1 courgette, coarsely grated, 2 tsp fennel seeds, bruised, Pinch chilli flakes, Large handful fresh parsley, leaves chopped, Grated zest and juice 1 lemon, 800g gnocchi, 25g fresh breadcrumbs, 25g grana padano, grated",455,13.7,4.9,12.6,67.6,2.7,5.1,1.6,Italy
15,"Roast beef with aubergine, peppers and cannellini beans","1.2-1.5kg boned and rolled British beef topside joint, 4 tbsp olive oil, plus extra to rub and drizzle, 1 tbsp cumin seeds, 1 tsp mustard seeds, 1 tsp coriander seeds, 20g fresh oregano, leaves picked and chopped, 1 tbsp chopped fresh thyme leaves, ½ tsp sea salt flakes, 2 aubergines, cut into wedges, then scored, 2 red peppers, cut into rough chunks, 2 red onions, cut into quarters through the root, 4 fat garlic cloves, bashed with the side of a knife, 150ml red wine, 2 x 400g tins cannellini beans, drained and rinsed, Handful fresh basil leaves to serve, Digital probe thermometer",482,15.2,3.6,54.4,21.8,7,11.1,0.82,Italy
16,Italian cherry and almond tart,"175g plain flour, plus extra to dust, 50g icing sugar, plus extra to dust, 90g chilled unsalted butter, cut into small pieces, 1 medium free-range egg yolk, 1 tbsp ice cold water, 175g unsalted butter, softened, 175g caster sugar, 175g blanched whole almonds, 2 medium free-range eggs, 400g cherries, stalks removed and pitted, 23cm fluted loose-bottomed flan tin, 3cm deep",505,33.5,15.1,8.6,41.7,27.8,1.2,0.2,Italy
17,Quick chicken cacciatore,"2 tsp light olive oil, 4 free-range chicken legs,  1 large fennel bulb, sliced into 6 wedges, 500g halved baby new potatoes, 5 bay leaves, 5 garlic cloves, quartered, 6 anchovy fillets in oil, 100g olives with rosemary and black pepper, roughly chopped, 350ml chicken stock, 150ml single cream",410,20.7,7.3,32.1,21.8,3.2,4,1.5,Italy
18,Tapenade pappardelle with ricotta,"150g dried pappardelle pasta , 100g olives with rosemary and black pepper, 1 large garlic clove, 1 tbsp rinsed capers, 3 chopped sun-dried tomatoes, A handful of chopped flatleaf parsley, 60ml extra-virgin olive oil, 100g ricotta, Fresh basil leaves , 25g toasted pine nuts",783,50,8.9,17.7,62.8,6.9,5.7,1,Italy
19,Brown butter caramel and rye bread gelato,"100g stale rye bread (we used  The Village Bakery Organic  Rossisky Rye Bread), 600ml whole milk,  1 tsp vanilla bean paste,  75g golden caster sugar,  3 tbsp cornflour,  1 large free-range egg yolk,  300ml double cream,  80g salted butter,  200g golden caster sugar,  200ml double cream,  1 tsp sea salt flakes",155,11.2,7.5,1.4,12.1,9.6,0.2,0.3,Italy
20,Caesar tagliatelle,"300g tagliatelle, 4 tsp light olive oil, 60g dried breadcrumbs, 3-4 garlic cloves, crushed, 4 baby gem lettuces, quartered lengthways, 8-10 anchovy fillets, roughly chopped, 4 spring onions, thinly sliced, 2 medium free-range eggs, beaten, 70g parmesan, finely grated, Few dashes Worcestershire sauce, Handful fresh flatleaf parsley leaves, finely chopped",483,12.9,4.8,23.1,66.5,3.1,4.6,0.8,Italy
21,Meatball and taleggio subs,"1 red onion, sliced, 2 tbsp red wine vinegar, 2 large submarine rolls (or any bread rolls/baguette you fancy), ½ batch meatballs in tomato sauce, 200g taleggio or mozzarella, sliced, A few fresh basil leaves to garnish",642,36.9,17,43.8,31.8,11.4,4,1.7,Italy
22,Classic meatballs in tomato sauce,"Olive oil for frying, 3 onions, finely chopped, 3 garlic cloves, crushed, 2 tsp cumin seeds, 1 tbsp tomato purée, 1-2 tbsp ancho chilli paste or chipotle paste (depending on how hot you want it), 2 x 400g tins chopped tomatoes, 500ml beef stock, 1kg free-range British beef mince, 2 large free-range eggs, beaten, 100ml whole milk, Rice, pasta and parmesan cheese to serve",398,25.7,9.9,30.4,10.2,8.8,2.3,0.8,Italy
23,Tomato and burrata salad with basil oil,"400-500g cherry tomatoes (mixed colours, on or off the vine), 2 garlic cloves, chopped, 6 tbsp extra-virgin olive oil, plus extra for drizzling and brushing, 2 tbsp aged balsamic vinegar, Large bunch fresh basil, leaves picked, Grated zest and juice 1 lemon, 1 small or ½ large focaccia, 90g bag wild rocket, 2 x 200g burrata balls (or use good buffalo mozzarella), 2 tbsp toasted pine nuts",264,23.4,6.7,8.4,4.1,3.8,1.3,0.4,Italy
24,Mushroom tagliatelle alfredo with chicken milanese,"250g cherry tomatoes on the vine, 2 large free-range chicken breasts, 50g fresh breadcrumbs, 40g grana padano, grated, 1 large free-range egg, beaten, 50g plain flour, Olive oil for frying, 250g fresh tagliatelle, 2 banana shallots, finely chopped, 2 garlic cloves, crushed, 200g mushrooms, finely sliced, 300ml single cream, 100g baby leaf spinach, Grated zest and juice 1 lemon, plus extra wedges to serve, Handful fresh basil, finely chopped, 50g grana padano cheese, grated, plus extra to serve",604,18.4,9.9,47.1,59.9,6.2,5.3,0.9,Italy
25,Ascolana olives,"1 litre vegetable oil for deep-frying, 1 heaped tbsp plain flour, seasoned with salt and pepper, 1 large free-range egg, beaten, 50g dried breadcrumbs (we used panko – widely available), 1 lemon, 30g grana padano cheese, grated, 150g can large green pitted olives (we used Perello Gordol, from Ocado and Amazon), drained, 8 anchovy fillets in oil, halved, Digital probe thermometer",60,4.3,0.8,2.1,3.1,0.2,0.4,0.6,Italy
26,"Cheesy potato frittata with radicchio, salami and olive salad ","500g waxy potatoes such as charlotte, cut into 5mm thick slices, 2 tbsp olive oil, 4 banana shallots, sliced, 2 garlic cloves, crushed, 6 large free-range eggs, 100ml whole milk, Bunch fresh parsley, coarsely chopped, 75g grana padano cheese, grated, 125g ball mozzarella (regular or smoked), sliced, 1 head pink/red radicchio, leaves separated, 100g bag rocket, 70g salami, sliced, 75g nocellara or other green olives, pitted and sliced, 1 tbsp balsamic vinegar, 3 tbsp extra-virgin olive oil, Juice ½ lemon, Grana padano shavings to serve, 25cm non-stick ovenproof frying pan",392,24.7,9.9,23.1,17.6,2.6,3.4,1.6,Italy
27,"Cavatelli with crab, lemon and chilli sauce","3 tbsp extra-virgin olive oil, plus extra for drizzling, 3 garlic cloves, finely chopped, 1 red chilli, deseeded and finely chopped, 100ml dry white wine, 200g brown crabmeat (we used Seafood & Eat It), 25g butter, 200g white crabmeat, Grated zest and juice 1½ lemons, Bunch fresh dill, leaves picked, Bunch fresh flatleaf parsley, chopped, 200g Italian ‘00’ flour (from the baking section of larger supermarkets), plus extra to dust, 1 large free-range egg, plus 3 yolks, beaten with 1 tbsp water, 1 tbsp chilli oil, 50g fresh breadcrumbs, ½ tsp chilli flakes",613,29.9,7.7,31.2,48.9,1.6,2.9,1.2,Italy
28,Aubergine al forno with ’nduja,"4 tbsp extra-virgin olive oil, plus extra for brushing, 2 garlic cloves, chopped, 2 x 400g cans chopped tomatoes, 1 tbsp ’nduja (we used Natoora, from Ocado; or use 50g spicy cooking chorizo, chopped), 3 large or 4 small aubergines, Large bunch fresh basil, 1-2 tsp sugar, ½ lemon, 200g smoked mozzarella (or use regular mozzarella), 100g grana padano cheese, grated, 100g shelled hazelnuts, toasted and roughly chopped, 1.2 litre ovenproof baking dish",369,27.8,10,17,10,9.2,5.7,0.7,Italy
29,Rabbit ragù lasagne,"250g fresh lasagne sheets, Olive oil for frying, 100g smoked bacon lardons, 1 onion, finely sliced, 3 carrots, finely diced, 2 celery sticks, finely diced, 2 garlic cloves, crushed, 500g rabbit mince (ask your butcher; or use mixed game, beef mince or turkey thigh mince), 200ml red wine, 2 tbsp Worcestershire sauce, 2 tbsp tomato purée, 150ml whole milk, 400g tin chopped tomatoes, 1 tbsp finely chopped fresh oregano, Small bunch fresh basil, leaves picked, 850ml whole milk, 6 cloves, 2 mace blades, 2 bay leaves, 60g unsalted butter, 60g plain flour, 80g grana padano cheese, grated, Pinch freshly grated nutmeg",502,22.9,1.9,32.9,34.5,11.5,3.8,0.8,Italy
30,Negroni cheesecake,"50g blanched hazelnuts, toasted in a dry pan until golden, 2 x 90g packs Loaker Napolitaner wafer biscuits, 4 tbsp melted butter, 2 x 280g packs full-fat cream cheese (we used Philadelphia), 80g caster sugar, 3 oranges, 200ml double cream, 6 gelatine leaves (we used Costa), 300ml Campari negroni, chilled, Deep 20cm loose-bottomed cake tin",496,35.5,21.8,6.7,26.9,20.8,0.7,0.6,Italy
