,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
10,Roasted aubergines with buttermilk dressing and jewelled Persian rice,"4 large aubergines, halved lengthways, Scant 1 tbsp ras el hanout (a North African spice mix, from large supermarkets), 5 tbsp extra-virgin olive oil, 284ml tub buttermilk, 1 garlic clove, crushed, Juice ½ lemon, Small bunch fresh chives, finely chopped, 350g long grain rice, 100g unsalted butter, melted, 200g cherries, stoned and quartered, 100g walnuts, toasted in a frying pan with a little oil, Large bunch each fresh coriander and parsley, roughly chopped, 1 small red chilli, finely chopped, Juice ½ -1 lemon",613,37.6,12.1,11,58.9,10.6,7.3,0.4,Morocco
11,"Wild rice salad with peas, pea shoots and green harissa","300g wild rice (see tip), 150g frozen garden peas, 6 spring onions, 1 medium cucumber, Bunch fresh flat leaf parsley, leaves picked, Bunch fresh coriander, leaves picked, 2 green chillies, deseeded and finely chopped, 100ml green harissa paste (see know-how), Grated zest and juice 1 lemon, 50g pea shoots to garnish",169,1.1,0.1,6.4,31.2,2.7,4.2,0.2,Morocco
12,Chicken briouats,"125g British free-range chicken thigh fillets, 125g British free-range skinless chicken breasts, 2 tbsp good quality extra-virgin olive oil, 1½ tsp salt, 1½ tsp ground black pepper, 1 large onion, chopped, 1 large garlic clove, finely chopped, 40g caster sugar, Pinch saffron threads, 100g dried apricots, finely chopped, 80g cold unsalted butter, cut into small cubes, 1½ tsp clear honey, 2 medium free-range eggs, plus 3 egg yolks mixed with a little water, Small bunch fresh coriander, chopped, Small bunch fresh flatleaf parsley chopped, 15 filo pastry sheets",228,9.3,3.9,8.8,27,6.4,0.9,0.7,Morocco
13,Spiced chicken with quinoa and lemon zest,"4 British free-range chicken thighs and 4 wings, Extra-virgin olive oil, 1 tbsp ras el hanout (Moroccan spice mix, available from Sainsbury’s, Tesco, Waitrose and Ocado), 1 tsp chilli flakes, 1 small red onion, halved and thinly sliced, 1 tsp ground cinnamon, 1 tsp ground cumin, 3 garlic cloves, crushed, 250g quinoa, 12 dried apricots, sliced, Finely grated zest ½ unwaxed lemon, Handful each fresh flatleaf parsley, mint and coriander leaves, chopped, plus extra to garnish, 1 tbsp pomegranate molasses (from Sainsbury’s, Waitrose, Ocado or Middle Eastern food shops), or lemon juice, Dried rose petals to garnish (optional; from baking shops or ottolenghi.co.uk)",329,12.9,2.4,25,29.2,8.2,1.9,0.3,Morocco
14,Lemon and garlic chicken with couscous,"8 free-range bone-in chicken thighs, 2 lemons, 4 tbsp olive oil, 3 garlic cloves, 1 red onion, 320ml chicken stock, 240g couscous, Large handful fresh parsley, Large handful fresh mint, plus extra",453,18.6,3.5,36.2,32.3,1.8,0.9,0.6,Morocco
15,Couscous with preserved lemons,"400ml chicken or vegetable stock, 400g can chickpeas, drained and rinsed, 300g couscous, Zest and juice of a lemon, Glug of extra-virgin olive oil, 2 preserved lemons, quartered, 75g toasted pine nuts, Handful of chopped fresh parsley",299,14,1.2,7.8,31,1.1,2.9,0.4,Morocco
16,Easy lamb tagine,"400g lamb leg steaks, 2 tbsp olive oil, 1 onion, 2 garlic cloves, 2 tsp ground coriander, 2 tsp cumin, 1 tsp ground ginger, Pinch of cinnamon, 400g can chopped tomatoes, 200ml chicken stock (we like Knorr), 100g pitted prunes, 1 tbsp ground almonds, A handful chopped fresh coriander",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Morocco
17,Spiced chicken pilaf with mint yogurt,"1 tbsp olive oil, plus extra to drizzle, 1 onion, 2 garlic cloves, 150g leftover roast chicken, 2 tbsp baharat or similar Moroccan spice mix (see tip), 120g basmati rice, 350ml chicken stock, 3 spring onions, Small handful fresh mint, 200g Greek yogurt",281,9.5,3.4,18.1,29.2,4.3,2.1,0.4,Morocco
18,Falafels with tahini dressing,"2 x 400g tins chickpeas, drained and rinsed, 4 garlic cloves, crushed, ½ small bunch fresh flatleaf parsley, 2 tsp ground cumin, 1 tsp ground coriander, 1 red onion, very finely chopped, 2 free-range eggs, lightly beaten, 2 tbsp wholemeal flour, 2 tbsp olive oil, plus extra for frying, 3 tbsp tahini, Juice 1 lemon, Herby quinoa to serve",303,19.4,3.5,16.2,17.7,1.6,6.7,0.7,Morocco
19,"Giant couscous with spiced lamb, feta and almonds","250g giant couscous, 4 British lamb leg steaks (about 150g each), 2 tbsp olive oil, 2 tsp baharat spice blend (we like Bart, from Tesco and Waitrose), Juice 1 lemon, Extra-virgin olive oil, 75g blanched almonds, 100g feta, 100g watercress, 50g pomegranate seeds",614,34.1,10,42.8,34.2,2.8,1.5,1.2,Morocco
