,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
10,Super green pasta,"500g penne pasta, 200g pot of houmous, 1 avocado, roughly chopped, 1 courgette, roughly chopped, 200ml light coconut milk, 100g defrosted frozen peas, Finely grated zest and juice of ½ lemon, The leaves of 5-6 fresh mint sprigs, Extra squeeze of lemon, lemon zest, black pepper, a few torn mint leaves and sea salt flakes, to serve",500,18,4.4,15,65.6,3.2,8.9,0.3,vegan
11,Vietnamese-style crispy tofu bowl,"125g rice noodles, 2 tbsp chilli sauce of your choice, Finely grated zest and juice 1 lime, 1 banana shallot, sliced into rings, 2 tbsp cornflour, ½ tsp flaked sea salt, ½ tsp freshly ground black pepper, 280g block extra-firm tofu, cut into 0.5cm slices, 1 tbsp vegetable oil, 1 carrot, sliced into thin strips (use a julienne peeler, if you have one), ¼ cucumber, sliced into thin strips, Small handful fresh mint leaves, Small handful toasted peanuts",404,14.1,6.1,18.1,48,7.2,6.3,2,vegan
12,Baba ghanoush,"2 large aubergines, 3 tbsp olive oil, plus extra for roasting, 1 small garlic clove, finely chopped or grated, Juice ½ lemon, 3 fresh parsley sprigs, roughly chopped, plus extra to serve, 2 tsp tahini (optional)",268,21.1,3.2,4.9,8.9,7.9,11.6,no salt,vegan
13,Fruit and herb buckwheat salad,"375g buckwheat, 1 good quality vegetable stock cube, 4 tbsp olive oil, 2 tbsp pomegranate molasses, Grated zest and juice ½ lemon, 1 preserved lemon, pulp removed and discarded, finely chopped (we used Belazu, from Sainsbury’s and Waitrose), 75g golden raisins, 75g green olives, roughly chopped, 50g shelled unsalted pistachios, roughly chopped, Handful fresh mint leaves, chopped, Small handful fresh dill, chopped",313,10.8,1.5,5.7,47.1,7.9,2,1.1,vegan
14,Green houmous with smoked almond dukkah,"100g broad beans, 200g petits pois, defrosted, 400g tin chickpeas, drained and rinsed, 3 tbsp tahini, 1 garlic clove, crushed, Grated zest and juice 1 lemon, 4 flatbreads, cut into wedges, Olive oil for brushing and drizzling, 100g smoked almonds, roughly chopped, 1 tbsp sesame seeds, 1 tsp coriander seeds, bruised in a pestle and mortar, 1 tsp cumin seeds, bruised in a mortar and pestle, 1 tsp sumac",262,14.8,1.7,11.3,17.1,1.8,7.6,0.2,vegan
15,Teriyaki and sesame aubergines with rice,"1½ tbsp light olive oil, 4 medium aubergines, halved, the cut sides lightly scored in a criss-cross pattern using the tip of a sharp knife, 250g long grain rice, rinsed in cold water, 200g fresh or frozen peas, 1-2 red chillies, deseeded (see tips) and chopped, 4 garlic cloves, bruised and chopped, 90ml teriyaki sauce, 1½ tsp toasted sesame oil, Grated zest and juice 1½ limes, the remaining ½ cut into wedges, 3 spring onions, thinly sliced, Small bunch fresh coriander, leaves chopped",438,7.9,1.5,11.4,74.5,18.7,11.9,1.7,vegan
16,Heritage tomato salad,"2 shallots, finely sliced, 2 tbsp sherry vinegar, 1 tsp caster sugar, 1kg heritage tomatoes, sliced, 50g caperberries, 4 tbsp extra-virgin olive oil, ½ tbsp fresh thyme leaves, 60g bag rocket",77,5.7,0.8,1,4.6,4.3,1.6,trace,vegan
17,Broad bean tabbouleh salad,"25g bulgur wheat (see tip), 200g podded broad beans (650-750g in their pods), 1 tbsp za’atar spice mix, 4 tbsp extra-virgin olive oil, Grated zest and juice 1 lemon, Juice ½-1 lime, ½ small garlic clove, grated, Bunch spring onions, chopped, 1 ripe beef tomato, chopped, Large bunch fresh parsley, chopped, Small bunch fresh mint, leaves picked and chopped, Sumac for sprinkling",196,12.9,1.2,1.9,12,3.8,6.9,trace salt,vegan
18,Artichoke panzanella,"100g blanched almonds, 270g loaf olive ciabatta, torn into chunky pieces (see tip), 2 x 175g packs chargrilled marinated globe artichokes in oil, 100g fresh flatleaf parsley, roughly chopped, Finely grated zest and juice ½ lemon, Olive oil for frying",509,32.5,3.5,14.6,34.5,3.8,9.8,2.4,vegan
19,Jollof beans (black-eyed beans in tomato sauce),"250g dried black-eyed beans, 400g tin tomatoes, 1 large onion, chopped, 1 red pepper, roughly chopped, 1 garlic clove, crushed, 1 tsp ground ginger, ½ scotch bonnet chilli, deseeded, Sunflower or olive oil for frying, ½-1 tsp Dunn’s River All Purpose Seasoning , 1-2 tsp Maggi Liquid Seasoning , Handful freshly chopped parsley , Handful chopped fresh coriander, Squeeze lime juice (optional), Cooked rice, bread, couscous or fried plantain to serve",321,6.9,1,17.2,42.4,10,10.1,0.8,vegan
